what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481611795268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481611839748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612175899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1481612252509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612504874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612505885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612506544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612509396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612510505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481612511132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481613037904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481617996373
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1481618007100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1481618007137
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618047628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618048233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618048840
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618049315
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618049664
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618049931
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618051075
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618051952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618052417
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618052922
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618054009
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.findNext",1481618054649
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481618085490
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481618085513
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481618086144
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481618090629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481618097532
