what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1481544408352
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1481544408354
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1481544408354
started,bundle,com.adobe.flash.codemodel.core,4.6.0.328916,"com.adobe.flash.codemodel.core",1481544408355
started,bundle,com.adobe.flash.codemodel.osgi,4.6.0.328916,"com.adobe.flash.codemodel.osgi",1481544408356
started,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.android.ui",1481544408373
started,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.6.0.328916,"com.adobe.flashbuilder.multiplatform.ios.ui",1481544408380
started,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.6.0.328916,"com.adobe.flashbuilder.project.multiplatform.ui",1481544408381
started,bundle,com.adobe.flexbuilder.dcrad,4.6.0.328916,"com.adobe.flexbuilder.dcrad",1481544408383
started,bundle,com.adobe.flexbuilder.debug.ui,4.6.0.328916,"com.adobe.flexbuilder.debug.ui",1481544408394
started,bundle,com.adobe.flexbuilder.editorcore,4.6.0.328916,"com.adobe.flexbuilder.editorcore",1481544408395
started,bundle,com.adobe.flexbuilder.editors.derived,4.6.0.328916,"com.adobe.flexbuilder.editors.derived",1481544408396
started,bundle,com.adobe.flexbuilder.exportimport,4.6.0.328916,"com.adobe.flexbuilder.exportimport",1481544408397
started,bundle,com.adobe.flexbuilder.flashbridge,4.6.0.328916,"com.adobe.flexbuilder.flashbridge",1481544408398
started,bundle,com.adobe.flexbuilder.flex,4.6.0.328916,"com.adobe.flexbuilder.flex",1481544408399
started,bundle,com.adobe.flexbuilder.multisdk,4.6.0.328916,"com.adobe.flexbuilder.multisdk",1481544408400
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.328916,"com.adobe.flexbuilder.mxmlmodel",1481544408401
started,bundle,com.adobe.flexbuilder.project,4.6.0.328916,"com.adobe.flexbuilder.project",1481544408401
started,bundle,com.adobe.flexbuilder.project.ui,4.6.0.328916,"com.adobe.flexbuilder.project.ui",1481544408402
started,bundle,com.adobe.flexbuilder.utils.osnative,4.6.0.328916,"com.adobe.flexbuilder.utils.osnative",1481544408403
started,bundle,com.adobe.flexide.amt,4.6.0.328916,"com.adobe.flexide.amt",1481544408404
started,bundle,com.adobe.flexide.editorcore,4.6.0.328916,"com.adobe.flexide.editorcore",1481544408405
started,bundle,com.adobe.flexide.launching,4.6.0.328916,"com.adobe.flexide.launching",1481544408406
started,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.328916,"com.adobe.flexide.launching.multiplatform",1481544408407
started,bundle,com.adobe.flexide.multiplatform.android,4.6.0.328916,"com.adobe.flexide.multiplatform.android",1481544408409
started,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.328916,"com.adobe.flexide.multiplatform.ios",1481544408410
started,bundle,com.adobe.flexide.nativelibs,4.6.0.328916,"com.adobe.flexide.nativelibs",1481544408411
started,bundle,com.adobe.flexide.project.multiplatform,4.6.0.328916,"com.adobe.flexide.project.multiplatform",1481544408412
started,bundle,com.collabnet.subversion.merge,3.0.12,"com.collabnet.subversion.merge",1481544408412
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1481544408412
started,bundle,com.qnx.flashbuilder.multiplatform.qnx.ui,1.2.0.201110311231,"com.qnx.flashbuilder.multiplatform.qnx.ui",1481544408413
started,bundle,com.qnx.flexide.multiplatform.qnx,1.2.0.201110311231,"com.qnx.flexide.multiplatform.qnx",1481544408414
started,bundle,com.qnx.tools.bbt.core,1.1.0.201110311231,"com.qnx.tools.bbt.core",1481544408414
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1481544408416
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1481544408417
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1481544408417
